ablaut.class,german,english
Ia,scheiden-schied-geschieden,shed-shed-shed
Ia,scheinen-schien-geschienen,shine-shone-shone
Ia,treiben-trieb-getrieben,drive-drove-driven
Ib,reiten-ritt-geritten,ride-rode-ridden
Ib,streichen-strich-gestrichen,strike-struck-struck
Ib,streiten-stritt-gestritten,stride-strode-stridden
IIIa,finden-fand-gefunden,find-found-found
IIIa,springen-sprang-gesprungen,"spring-sprang, sprung-sprung"
IIIa,trinken-trank-getrunken,drink-drank-drunk
IIIb,beginnen-begann-begonnen,begin-began-begun
IIIb,schwimmen-schwamm-geschwommen,swim-swam-swum
IIIb,gewinnen-gewann-gewonnen,win-won-won
IVa,kommen-kam-gekommen,come-came-come
IVa,sprechen-sprach-gesprochen,speak-spoke-spoken
IVa,stehlen-stahl-gestohlen,steal-stole-stolen
IVb,weben-wob-gewoben,weave-wove-woven
V,essen-aß-gegessen,eat-ate-eaten
V,geben-gab-gegeben,give-gave-given
V,sehen-sah-gesehen,see-saw-seen
VI,schwören-schwor-geschworen,swear-swore-sworn
VI,tragen-trug-getragen,draw-drew-drawn
VIIb,gehen-ging-gegangen,go-went-gone
VIId,fallen-fiel-gefallen,fall-fell-fallen
VIIf,schlafen-schlief-geschlafen,sleep-slept-slept
